0,4,Individual Rebound,12
0,8,Substitution,0
0,10,Jump Ball,0
0,12,N/A (score report but there is no team data?),0
0,13,N/A (score report but there is no team data?),0
0,18,Tie (score report but there is no team data?),0
0,5,Loose Ball (No Turnover or Steal),0
1,1,Jump Shot (Made),1
1,2,Jump Shot (Miss or Block),2
1,4,Team Rebound,0
1,5,Bad Pass Turnover (or Steal),10
1,6,P.FOUL,11
1,7,?,0
2,1,Running Jump Shot (Made),1
2,2,Running Jump Shot (Miss or Block),2
2,5,Lost Ball Turnover (or Steal),0
2,6,S.FOUL,11
3,1,Hook Shot (Made),3
3,2,Hook Shot (Miss or Block),4
3,6,L.B.FOUL,11
4,5,Traveling Turnover,10
4,6,OFF.FOUL,11
5,1,Layup (Made),5
5,2,Layup (Miss or Block),6
5,6,IN.FOUL,11
6,1,Driving Layup (Made),5
6,2,Driving Layup (Miss or Block),6
6,5,Double Dribble Turnover,10
6,6,AWAY.FROM.PLAY.FOUL,11
7,1,Dunk (Made),7
7,2,Dunk (Miss or Block),8
7,5,Discontinue Dribble Turnover,10
8,5,3 Second Violation Turnover,10
9,1,Driving Dunk (Made),7
9,2,Driving Dunk (Miss or Block),8
9,5,5 Second Violation Turnover,10
9,6,C.P.FOUL,11
10,3,1/1 Free Throw (Made or Miss) ,9
10,5,8 Second Violation Turnover,10
10,6,?,0
11,3,1/2 Free Throws (Made or Miss),9
11,5,Shot Clock Turnover,10
11,6,T.FOUL,11
12,3,2/2 Free Throw (Made or Miss),9
12,5,Inbound Turnover,10
12,6,Non-Unsportsmanlike,0
13,3,1/3 Free Throw (Made or Miss),9
13,5,Backcourt Turnover,10
13,6,HANGING.TECH.FOUL,11
14,3,2/3 Free Throw (Made or Miss),9
14,6,FLAGRANT.FOUL.TYPE1,11
15,3,3/3 Free Throw (Made or Miss),9
15,5,Offensive Goaltending Turnover,10
15,6,FLAGRANT.FOUL.TYPE2,11
16,3,1/1 Free Throw Technical (Made or Miss),9
16,6,?,0
17,5,Lane Violation Turnover,10
17,6,Team foul,10
18,3,1/2 Free Throw Flagrant (Made or Miss),9
18,5,Jump Ball Violation Turnover,10
18,6,?,0
19,3,2/2 Free Throw Flagrant (Made or Miss),9
